Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, May 7, 2019",10:30p,Portland Trail Blazers,98,Denver Nuggets,124
"Wed, May 8, 2019",8:00p,Boston Celtics,91,Milwaukee Bucks,116
"Wed, May 8, 2019",10:30p,Houston Rockets,99,Golden State Warriors,104
"Thu, May 9, 2019",8:00p,Toronto Raptors,101,Philadelphia 76ers,112
"Thu, May 9, 2019",10:30p,Denver Nuggets,108,Portland Trail Blazers,119
"Fri, May 10, 2019",9:00p,Golden State Warriors,118,Houston Rockets,113
"Sun, May 12, 2019",3:30p,Portland Trail Blazers,100,Denver Nuggets,96
"Sun, May 12, 2019",7:00p,Philadelphia 76ers,90,Toronto Raptors,92
"Tue, May 14, 2019",9:00p,Portland Trail Blazers,94,Golden State Warriors,116
"Wed, May 15, 2019",8:30p,Toronto Raptors,100,Milwaukee Bucks,108
"Thu, May 16, 2019",9:00p,Portland Trail Blazers,111,Golden State Warriors,114
"Fri, May 17, 2019",8:30p,Toronto Raptors,103,Milwaukee Bucks,125
"Sat, May 18, 2019",9:00p,Golden State Warriors,110,Portland Trail Blazers,99
"Sun, May 19, 2019",7:00p,Milwaukee Bucks,112,Toronto Raptors,118
"Mon, May 20, 2019",9:00p,Golden State Warriors,119,Portland Trail Blazers,117
"Tue, May 21, 2019",8:30p,Milwaukee Bucks,102,Toronto Raptors,120
"Thu, May 23, 2019",8:30p,Toronto Raptors,105,Milwaukee Bucks,99
"Sat, May 25, 2019",8:30p,Milwaukee Bucks,94,Toronto Raptors,100
"Thu, May 30, 2019",9:00p,Golden State Warriors,109,Toronto Raptors,118
"Sun, Jun 2, 2019",8:00p,Golden State Warriors,109,Toronto Raptors,104
"Wed, Jun 5, 2019",9:00p,Toronto Raptors,123,Golden State Warriors,109
"Fri, Jun 7, 2019",9:00p,Toronto Raptors,105,Golden State Warriors,92
"Mon, Jun 10, 2019",9:00p,Golden State Warriors,106,Toronto Raptors,105
"Thu, Jun 13, 2019",9:00p,Toronto Raptors,114,Golden State Warriors,110
